SpineBase							SpineMid							Neck							Head							ShoulderLeft							ElbowLeft							WristLeft							HandLeft							ShoulderRight							ElbowRight							WristRight							HandRight							HipLeft							KneeLeft							AnkleLeft							FootLeft							HipRight							KneeRight							AnkleRight							FootRight							SpineShoulder							HandTipLeft							ThumbLeft							HandTipRight							ThumbRight							
Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;Position.X;Position.Y;Position.Z;Orientation.X;Orientation.Y;Orientation.Z;Orientation.W;
-0.1564502;-0.3963833;1.1286;0.05788641;0.9765665;-0.08570006;-0.1887392;-0.1356728;-0.1444562;1.079885;0.05788096;0.9765785;-0.08570377;-0.188677;-0.1120764;0.09877374;1.021149;0.07547088;0.9712397;-0.125132;-0.1879884;-0.09741898;0.2273266;0.9376517;0;0;0;0;-0.2906608;0.05464472;1.09815;-0.6748859;0.7121146;0.05471472;-0.1855481;-0.3615898;-0.1869173;1.136359;0.9102412;-0.1595125;-0.381806;0.01551399;-0.3799608;-0.3825788;1.128666;0.8224478;-0.02740086;-0.5665767;-0.0426572;-0.3811335;-0.4226015;1.129799;0.822592;-0.02008282;-0.5682676;0.003311414;0.0191641;-0.01034515;0.9815025;0.7808785;0.5803424;-0.2214687;-0.06620478;0.04804156;-0.1958182;0.8897243;0.7982537;-0.07040678;0.5537386;-0.2262908;0.04511655;-0.3355798;0.7410473;-0.365818;-0.3608811;0.841786;0.1653429;0.03850993;-0.3540139;0.7185275;-0.3258673;-0.3464237;0.8382491;0.2667201;-0.2231264;-0.3820419;1.128362;-0.6253927;0.7744761;-0.06118705;-0.07298515;-0.3262343;-0.7135897;1.227744;-0.5556061;0.1983987;0.8064205;0.0403219;-0.4301861;-1.040075;1.349112;-0.6121143;0.2255346;0.757897;0.006512968;-0.4648181;-1.080863;1.229824;0;0;0;0;-0.08147186;-0.390289;1.07087;0.6341076;0.7026918;-0.2564625;-0.1958539;-0.0668481;-0.6492564;1.215841;0.8081437;0.1598492;0.5316615;0.1966927;-0.05086446;-0.9991874;1.442836;0.7780338;0.1819252;0.560205;0.2184877;-0.09194027;-1.041651;1.322596;0;0;0;0;-0.1182486;0.03942252;1.037978;0.06663045;0.9746782;-0.1006378;-0.1882417;-0.386346;-0.4872268;1.134291;0;0;0;0;-0.4171195;-0.4004745;1.091389;0;0;0;0;0.02944516;-0.385576;0.6682667;0;0;0;0;-0.007991665;-0.3853856;0.7486666;0;0;0;0;
-0.1586861;-0.3924856;1.129758;0.06022406;0.9772389;-0.08012431;-0.1869688;-0.1361091;-0.1403532;1.08367;0.06025565;0.9771651;-0.08010056;-0.1873541;-0.1108981;0.1032733;1.026585;0.07783253;0.9716706;-0.1211855;-0.1873828;-0.09625488;0.2331705;0.9439914;0;0;0;0;-0.2894834;0.05693084;1.102978;-0.6787439;0.7092984;0.05807747;-0.1811893;-0.360543;-0.183714;1.138036;0.9119724;-0.1580406;-0.3784493;0.010282;-0.3798653;-0.3826954;1.128685;0.7531785;-0.02110327;-0.6556203;-0.04938603;-0.3812726;-0.4224201;1.129712;0.7534273;-0.02183503;-0.6571658;-0.001895092;0.0206685;-0.006815387;0.9859869;0.7826946;0.5786135;-0.2186392;-0.06922859;0.04766691;-0.1943211;0.8906066;0.8032669;-0.07576297;0.5447869;-0.2285382;0.04241238;-0.3345929;0.7425619;-0.3655402;-0.3567932;0.8427117;0.1700466;0.03512575;-0.3562005;0.7199103;-0.3333993;-0.313632;0.851456;0.2559345;-0.2241868;-0.3797309;1.129028;-0.6330035;0.7689255;-0.06119413;-0.06569184;-0.3247608;-0.7131033;1.226168;-0.5569111;0.193391;0.8068055;0.03892086;-0.4262958;-1.041261;1.34533;-0.6120701;0.220652;0.7593724;0.006024132;-0.4610162;-1.081584;1.225533;0;0;0;0;-0.08515523;-0.3847316;1.072695;0.6286729;0.7073405;-0.2515149;-0.2029288;-0.06876554;-0.6480237;1.211495;0.8107651;0.1555004;0.5331926;0.1848919;-0.05061258;-1.003289;1.430367;0.7803116;0.1776104;0.5625014;0.207751;-0.09171218;-1.045207;1.309677;0;0;0;0;-0.1174646;0.04380459;1.043006;0.06905629;0.9750422;-0.09674963;-0.1875194;-0.3850784;-0.482083;1.127954;0;0;0;0;-0.4222214;-0.3904994;1.103333;0;0;0;0;0.02728233;-0.3865769;0.6703123;0;0;0;0;-0.01353964;-0.3789907;0.7634814;0;0;0;0;
-0.1592544;-0.3910583;1.130369;0.0606358;0.9776269;-0.07304402;-0.1877062;-0.1356438;-0.13666;1.087472;0.06060603;0.9777033;-0.07306872;-0.1873079;-0.1089392;0.1098126;1.033798;0.07861812;0.9727906;-0.1124819;-0.1866699;-0.09487444;0.2413235;0.9521934;0;0;0;0;-0.2883684;0.06008666;1.109227;-0.6835305;0.7060908;0.06382126;-0.1736337;-0.3590001;-0.1803515;1.140195;0.9137276;-0.1545322;-0.3757779;0.00356045;-0.3790683;-0.3827999;1.1285;0.7882546;-0.02130207;-0.6126957;-0.05296147;-0.3787705;-0.4230842;1.127341;0.7885411;0.01176166;-0.6148027;-0.009075108;0.02261565;-0.001840328;0.9916642;0.7852491;0.5764197;-0.2133301;-0.07493027;0.04729691;-0.1924322;0.8937808;0.8040186;-0.08210506;0.5435112;-0.2267344;0.04033069;-0.3333026;0.7464575;-0.3575794;-0.3546692;0.8470454;0.169885;0.0320523;-0.3600541;0.7256392;-0.3349566;-0.2515762;0.878141;0.2310447;-0.2255951;-0.376652;1.129723;-0.6251405;0.776091;-0.05567029;-0.06150505;-0.3222016;-0.7126834;1.223567;-0.5563449;0.1857641;0.8090672;0.03717751;-0.4198042;-1.042797;1.339316;-0.6120001;0.2133002;0.7615338;0.005033131;-0.4546191;-1.082427;1.218891;0;0;0;0;-0.08521117;-0.3843701;1.073159;0.6347471;0.7022479;-0.2478873;-0.2061448;-0.07064715;-0.6490378;1.210032;0.8116028;0.150762;0.5337566;0.1835086;-0.05487853;-1.005523;1.426022;0.780625;0.173346;0.5638711;0.2064586;-0.09590796;-1.046841;1.304753;0;0;0;0;-0.1158839;0.04958406;1.049331;0.06996625;0.9758884;-0.08885542;-0.1866851;-0.3819394;-0.4853965;1.126914;0;0;0;0;-0.4155616;-0.3927647;1.092549;0;0;0;0;0.02008677;-0.3884797;0.6735143;0;0;0;0;-0.01530473;-0.3873844;0.7573097;0;0;0;0;
-0.1593314;-0.3917139;1.133136;0.05996235;0.9831547;-0.06717305;-0.1590573;-0.1340419;-0.133992;1.093537;0.060505;0.9818327;-0.06668468;-0.1670233;-0.1056275;0.1177622;1.042259;0.07802472;0.9756945;-0.1060216;-0.1751908;-0.09350191;0.2522649;0.9643725;0;0;0;0;-0.2934559;0.05914361;1.110476;0.6993945;-0.6966774;-0.05127608;0.1511903;-0.3574371;-0.1764776;1.142756;0.8934667;-0.14705;-0.4243598;0.003506809;-0.3773707;-0.3833654;1.128083;0.942359;-0.03360222;-0.3292707;-0.04910393;-0.3752483;-0.4261605;1.126798;0.9428287;0.02834337;-0.3320172;-0.005924257;0.02516316;0.003706107;0.9982368;0.7880535;0.5731337;-0.2085587;-0.08362322;0.04811881;-0.1898478;0.9048483;0.7994458;-0.08184965;0.5555733;-0.2133667;0.04032993;-0.3315966;0.7585756;-0.3725967;-0.3479662;0.841947;0.176682;0.03136145;-0.366651;0.7362155;-0.3582112;-0.2137236;0.8852972;0.2055619;-0.2262317;-0.3741901;1.130353;-0.608061;0.7902586;-0.06057078;-0.0456546;-0.3194079;-0.7123846;1.220927;-0.5801108;0.1798092;0.7938542;0.03058586;-0.4136849;-1.044336;1.333429;-0.6191239;0.2066489;0.7576115;0.002551401;-0.4461603;-1.083521;1.211521;0;0;0;0;-0.08371631;-0.3939731;1.08411;0.6787695;0.6761919;-0.227602;-0.1738789;-0.07235205;-0.6615405;1.215986;0.7980297;0.1460017;0.5579504;0.1747094;-0.06062428;-1.021842;1.425243;0.7763775;0.1662677;0.5739649;0.200393;-0.09914495;-1.062636;1.302587;0;0;0;0;-0.1129861;0.05605058;1.057233;0.07008292;0.978574;-0.08277767;-0.1750118;-0.3817413;-0.4907637;1.124339;0;0;0;0;-0.3902767;-0.4174794;1.067647;0;0;0;0;0.01734241;-0.3936766;0.6834568;0;0;0;0;-0.01736811;-0.3840466;0.7731379;0;0;0;0;
-0.1609225;-0.3818359;1.139985;0.0619284;0.9864799;-0.06062552;-0.1390933;-0.1331791;-0.1223656;1.103938;0.06345867;0.9825997;-0.05902182;-0.1642776;-0.103385;0.1279915;1.053609;0.08210324;0.9726818;-0.1045453;-0.1903142;-0.09229191;0.264089;0.9786567;0;0;0;0;-0.2861497;0.07064911;1.131287;0.6958532;-0.6943109;-0.07506252;0.1675897;-0.3556068;-0.1735808;1.145981;0.9373512;-0.139974;-0.3185892;-0.01675923;-0.3739023;-0.3848394;1.127601;-0.669896;-0.003167793;0.739942;0.06095162;-0.3710123;-0.4283494;1.124129;-0.6769892;-0.05164095;0.7341743;0.002625126;0.02856059;0.01221756;1.008198;0.7905552;0.5689053;-0.2102106;-0.08474016;0.05352433;-0.1861182;0.9270566;0.7957494;-0.06398666;0.5713536;-0.1903781;0.04708815;-0.3308974;0.7839895;-0.3950855;-0.3360936;0.8362893;0.1776757;0.03164858;-0.3756605;0.7527112;-0.3716398;-0.2114328;0.8696434;0.2467802;-0.2262322;-0.3689058;1.133214;-0.6301178;0.7722099;-0.07964478;-0.01732181;-0.3106532;-0.7127691;1.215593;-0.596476;0.1626696;0.7855985;0.02429216;-0.3964736;-1.049786;1.320054;-0.6089796;0.189559;0.7701938;0.003547814;-0.4326706;-1.088061;1.199011;0;0;0;0;-0.08811273;-0.3754223;1.092998;0.6459519;0.7094063;-0.2141038;-0.1834351;-0.07193199;-0.6531604;1.2084;0.793694;0.1368857;0.575423;0.1421291;-0.05409064;-1.025594;1.396002;0.7899424;0.1526531;0.5675651;0.1748081;-0.09615777;-1.06546;1.274274;0;0;0;0;-0.1109838;0.0668693;1.068476;0.0741309;0.9757633;-0.07932787;-0.1899938;-0.3774685;-0.4897876;1.117467;0;0;0;0;-0.4128758;-0.3988293;1.112889;0;0;0;0;0.01340311;-0.4046277;0.698468;0;0;0;0;-0.01635808;-0.3874153;0.7879667;0;0;0;0;
-0.1585866;-0.3756842;1.145326;0.06252602;0.9869454;-0.05499282;-0.1378592;-0.1298948;-0.1143259;1.111988;0.0638347;0.9833318;-0.05346818;-0.1616322;-0.09986515;0.1377495;1.064433;0.08032347;0.9741957;-0.09842101;-0.1865587;-0.09089838;0.2761003;0.9940593;0;0;0;0;-0.283052;0.07526357;1.140273;0.7046647;-0.6869466;-0.07751454;0.1598233;-0.3540964;-0.170498;1.151399;0.9425192;-0.1401415;-0.3025502;-0.0219358;-0.3674263;-0.3870097;1.127143;-0.6800184;-0.01990257;0.7304375;0.06033226;-0.3656165;-0.4333497;1.121787;-0.6839594;-0.05516487;0.7269934;0.02523702;0.0321472;0.02071459;1.0191;0.7937515;0.5664496;-0.2042165;-0.0859578;0.06351102;-0.1842447;0.9524691;0.8088193;-0.0286443;0.5624577;-0.1692099;0.05516361;-0.3318687;0.8127137;-0.418112;-0.3202376;0.8294423;0.1861604;0.03468417;-0.3862043;0.7734684;-0.3924649;-0.2055649;0.8565102;0.2647727;-0.2229413;-0.3635798;1.137006;-0.6332569;0.7691997;-0.08543675;-0.004257477;-0.2927709;-0.7153193;1.207538;-0.5982923;0.1358882;0.7894654;0.01802738;-0.3644738;-1.059468;1.300406;-0.6098371;0.1635379;0.7754688;-0.001456918;-0.4005305;-1.097021;1.178743;0;0;0;0;-0.08679237;-0.3693409;1.09772;0.6461552;0.7068814;-0.2139279;-0.1924499;-0.0692646;-0.6494608;1.209359;0.7943162;0.1345318;0.5768456;0.1349523;-0.04962508;-1.02452;1.39195;0.7896299;0.1509942;0.5705642;0.1677552;-0.09112374;-1.064012;1.269482;0;0;0;0;-0.1074813;0.07621679;1.078532;0.07299784;0.9770088;-0.07400709;-0.1861399;-0.3725649;-0.4922986;1.114034;0;0;0;0;-0.4088545;-0.4115762;1.107632;0;0;0;0;0.0137223;-0.4150863;0.7212549;0;0;0;0;-0.02220769;-0.4153188;0.79;0;0;0;0;
-0.1489842;-0.3680721;1.153461;0.05546986;0.987833;-0.05064379;-0.1361774;-0.1235108;-0.105162;1.122838;0.05669341;0.984202;-0.04927023;-0.1603272;-0.09724154;0.1488314;1.07866;0.07070038;0.9757363;-0.09220414;-0.1855762;-0.08874008;0.2873459;1.011462;0;0;0;0;-0.2798781;0.07984336;1.154055;0.7154497;-0.6762287;-0.0820728;0.1552758;-0.3508076;-0.1647441;1.159396;0.9426488;-0.1371447;-0.302527;-0.03289198;-0.3613496;-0.3883217;1.126873;-0.6843405;-0.03640101;0.7252122;0.06648479;-0.357217;-0.4389531;1.119187;-0.6899624;-0.08211679;0.7188085;0.0228699;0.0368579;0.02939801;1.032444;0.7972803;0.562673;-0.2006119;-0.08659261;0.07579882;-0.1873149;0.9739022;0.8293024;0.001990439;0.5365189;-0.156208;0.06471524;-0.34059;0.8410234;-0.3335801;-0.3158997;0.8751896;0.1515742;0.04024103;-0.3982338;0.8015258;-0.3032037;-0.2114803;0.8929414;0.2569031;-0.2125152;-0.358225;1.144182;-0.6452252;0.7587878;-0.08880427;0.006268622;-0.2929321;-0.712622;1.199746;-0.6006738;0.1275546;0.7881585;0.04155701;-0.3744056;-1.058902;1.278069;-0.6147937;0.1556908;0.7728869;0.02085414;-0.4100267;-1.095891;1.156531;0;0;0;0;-0.07808603;-0.3594389;1.105606;0.636041;0.7146859;-0.2127033;-0.1985783;-0.06770067;-0.6433348;1.211782;0.7921196;0.1195401;0.5836017;0.132913;-0.05697524;-1.022662;1.38719;0.7902502;0.1368414;0.5737445;0.1661215;-0.0981649;-1.061766;1.264663;0;0;0;0;-0.1038563;0.08679517;1.091805;0.06446321;0.9781545;-0.06896171;-0.1852093;-0.3591924;-0.5018592;1.108196;0;0;0;0;-0.3962749;-0.4141394;1.103637;0;0;0;0;0.00778147;-0.4379586;0.7559099;0;0;0;0;-0.01638126;-0.4251337;0.8329999;0;0;0;0;
-0.1420685;-0.3641604;1.161607;0.052603;0.9879608;-0.04357404;-0.138808;-0.1174285;-0.09837816;1.13459;0.05402492;0.9827902;-0.04179809;-0.171632;-0.09266829;0.1583312;1.093831;0.06757383;0.9725774;-0.0844931;-0.2058832;-0.0853695;0.2972843;1.030706;0;0;0;0;-0.2760499;0.0840321;1.168757;0.7230644;-0.6690027;-0.08986719;0.1467551;-0.3470772;-0.1599321;1.168447;0.9401153;-0.1338754;-0.3102433;-0.04482862;-0.3552365;-0.3864617;1.127065;0.9326785;0.01493371;-0.3488019;-0.09069203;-0.3464375;-0.4452142;1.116476;0.9313411;0.09953345;-0.3455667;-0.05727559;0.03719664;0.02969377;1.033163;0.8039015;0.5376005;-0.22403;-0.1205764;0.08929655;-0.1939566;1.003438;0.838195;0.06135852;0.5294921;-0.1153369;0.0745722;-0.3545365;0.8717503;-0.364988;-0.295183;0.8674303;0.1649706;0.04730132;-0.4141693;0.8343657;-0.3359296;-0.1769024;0.8844039;0.271453;-0.2041974;-0.3552787;1.151919;-0.6498804;0.7547823;-0.08789348;0.01529139;-0.2854168;-0.7141361;1.192656;-0.5989902;0.1109383;0.7911478;0.05466878;-0.3673553;-1.064298;1.256534;-0.6034788;0.1391486;0.7843205;0.03594727;-0.4071788;-1.100205;1.136719;0;0;0;0;-0.07277504;-0.3548749;1.113477;0.6326804;0.7150487;-0.2121711;-0.2083368;-0.05994362;-0.6382037;1.222263;0.7929262;0.1249969;0.581057;0.1342258;-0.04586573;-1.016414;1.401032;0.7994496;0.1395829;0.5591696;0.1694885;-0.09137167;-1.054893;1.279922;0;0;0;0;-0.09887002;0.09566663;1.106162;0.06120923;0.9748115;-0.06111118;-0.2055758;-0.3443655;-0.5108319;1.108731;0;0;0;0;-0.3606022;-0.4415236;1.0588;0;0;0;0;0.008807666;-0.4479564;0.7768988;0;0;0;0;-0.002134677;-0.4219758;0.8716667;0;0;0;0;
-0.1299573;-0.3589492;1.171201;0.04432222;0.9896486;-0.03826568;-0.1310229;-0.109041;-0.09160067;1.147686;0.0447498;0.9881123;-0.03776475;-0.1421457;-0.08777893;0.1664243;1.110966;0.05484007;0.9832335;-0.08043313;-0.1541919;-0.08014144;0.3075939;1.052749;0;0;0;0;-0.2699618;0.08683024;1.182818;0.7329154;-0.6594315;-0.08420829;0.1445476;-0.3415287;-0.154924;1.180066;0.933715;-0.1334714;-0.3279957;-0.05272895;-0.3470007;-0.3854765;1.129233;-0.6284184;-0.07652415;0.7702151;0.07747813;-0.3373103;-0.448101;1.117635;-0.6412243;-0.1181229;0.7582071;0.0007031074;0.05600585;0.04845987;1.07898;0.8017693;0.5747488;-0.1551825;-0.05242337;0.1031025;-0.1998765;1.03067;0.86655;0.03473021;0.4812492;-0.1276091;0.08572401;-0.3747703;0.9139249;-0.3096263;-0.2597751;0.9047542;0.134418;0.0553537;-0.4343019;0.877687;-0.2773011;-0.1791574;0.9025735;0.2763471;-0.1944378;-0.3520778;1.160808;-0.6635037;0.7428342;-0.08630031;0.02263735;-0.2771612;-0.7148024;1.186534;-0.6053286;0.09560284;0.7873367;0.06736617;-0.3600652;-1.067683;1.235702;-0.6372378;0.1254418;0.7591171;0.04397247;-0.3895536;-1.103535;1.111861;0;0;0;0;-0.05862475;-0.3476737;1.123289;0.6270359;0.7231772;-0.2043877;-0.2051007;-0.05560856;-0.6351511;1.226307;0.786823;0.1070326;0.5929396;0.1337024;-0.05370697;-1.017545;1.397185;0.7763046;0.128704;0.5948458;0.1641492;-0.08870706;-1.056282;1.271937;0;0;0;0;-0.09310976;0.1034428;1.122206;0.04998643;0.9851427;-0.05772545;-0.1538279;-0.3372934;-0.5104195;1.105764;0;0;0;0;-0.3811136;-0.4187603;1.116292;0;0;0;0;0.02568336;-0.4762342;0.8236832;0;0;0;0;0.006047077;-0.4454703;0.9243333;0;0;0;0;
-0.1195057;-0.3559974;1.178387;0.03995202;0.9898679;-0.02976338;-0.1329641;-0.100201;-0.08613176;1.159524;0.040421;0.9876246;-0.02912327;-0.1487131;-0.08083902;0.174312;1.127896;0.04986063;0.9824715;-0.06999348;-0.1654224;-0.07382899;0.3158426;1.074035;0;0;0;0;-0.2628051;0.08967388;1.198792;0.7397343;-0.652305;-0.09308026;0.1364826;-0.3371763;-0.1548144;1.189989;0.9357432;-0.1334982;-0.320092;-0.06406255;-0.3394681;-0.3830839;1.132111;-0.6283314;-0.09274122;0.7680106;0.08220975;-0.3301884;-0.4445846;1.119774;-0.6412504;-0.1224529;0.7574649;0.007062254;0.06023649;0.05081502;1.087633;0.8085794;0.5600154;-0.1649524;-0.0732991;0.1170111;-0.2021291;1.063084;0.891811;0.07776774;0.436305;-0.09090273;0.09401242;-0.3954619;0.9601585;-0.4055324;-0.1964714;0.8800465;0.1498685;0.06470124;-0.4602827;0.9266337;-0.3821887;-0.1264425;0.8752428;0.2681308;-0.1852429;-0.3498298;1.16828;-0.6691334;0.7385417;-0.07805333;0.02691117;-0.254247;-0.7168792;1.187575;-0.6047013;0.07689495;0.790616;0.05787708;-0.3238485;-1.073763;1.230477;-0.6264263;0.1060739;0.7713386;0.03708202;-0.3562996;-1.108631;1.107063;0;0;0;0;-0.04757484;-0.3443345;1.129871;0.6269673;0.7226849;-0.2007477;-0.210568;-0.04457732;-0.6398129;1.239379;0.7863426;0.1100331;0.5920149;0.1381176;-0.04241881;-1.013187;1.409731;0.7813993;0.1296847;0.5867704;0.1682188;-0.07996184;-1.049896;1.284139;0;0;0;0;-0.08566665;0.1107387;1.137835;0.04522211;0.9840739;-0.04790311;-0.1651024;-0.3297144;-0.5111434;1.11167;0;0;0;0;-0.3713162;-0.4140781;1.1175;0;0;0;0;0.04323329;-0.5139761;0.8884361;0;0;0;0;0.02017157;-0.4535726;0.9728571;0;0;0;0;
