SpineBase;;;SpineMid;;;Neck;;;Head;;;ShoulderLeft;;;ElbowLeft;;;WristLeft;;;HandLeft;;;ShoulderRight;;;ElbowRight;;;WristRight;;;HandRight;;;HipLeft;;;KneeLeft;;;AnkleLeft;;;FootLeft;;;HipRight;;;KneeRight;;;AnkleRight;;;FootRight;;;SpineShoulder;;;HandTipLeft;;;ThumbLeft;;;HandTipRight;;;ThumbRight;;;
X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;X;Y;Z;
0.008112672;-0.5529723;1.045499;0.02465534;-0.244736;1.094092;0.03991035;0.05125364;1.12186;0.0232673;0.1966541;1.082815;-0.1276486;-0.05969939;1.109187;-0.2098448;-0.2933044;1.063449;-0.2737409;-0.4628673;0.9958505;-0.2663077;-0.5040296;0.9552758;0.2082091;-0.03201615;1.05783;0.232165;-0.1966127;0.9175261;0.0489674;-0.1190371;0.8816637;0.03077158;-0.1100603;0.8818433;-0.06982005;-0.5427319;1.020574;-0.3410967;-0.3579801;1.011312;-0.1059051;-0.4509863;0.8890188;-0.08539622;-0.4281473;0.755676;0.08564651;-0.530443;1.008471;0.1327238;-0.2419813;0.8214597;-0.07215269;-0.2728027;0.8121411;-0.1346928;-0.3460316;0.836602;0.03628283;-0.0208431;1.117742;-0.291303;-0.5478696;0.9346461;-0.2404187;-0.5063284;0.9200454;-0.001333824;-0.08957922;0.8741835;0.01045095;-0.1435196;0.8761429;
0.009746283;-0.4555198;1.058025;0.02285744;-0.2007517;1.097495;0.03902281;0.05132794;1.118212;0.02198401;0.195508;1.07521;-0.128137;-0.05890264;1.10693;-0.2098418;-0.2930197;1.061188;-0.2574166;-0.4630322;0.9808912;-0.24809;-0.4964907;0.9566821;0.2073945;-0.03202306;1.054307;0.2347499;-0.1962415;0.9180553;0.05271589;-0.1304214;0.8755654;0.004875437;-0.1162796;0.8782492;-0.06782062;-0.4477502;1.037361;-0.3660932;-0.3998966;0.996666;-0.009688534;-0.4667446;0.8876253;0.01389949;-0.5352315;0.8301416;0.08686443;-0.4377027;1.019262;0.06089951;-0.3787733;0.6458066;0.03862112;-0.3346607;0.3192048;0.01957569;-0.2885715;0.1941429;0.03486299;-0.01700047;1.114352;-0.2639404;-0.5396114;0.9235873;-0.2078326;-0.4944491;0.9459999;-0.06007536;-0.08018166;0.8764159;0.02874657;-0.09271068;0.9229231;
0.01053353;-0.4535668;1.055172;0.02283973;-0.19915;1.095423;0.03700557;0.05178878;1.118095;0.01862117;0.195667;1.073881;-0.1299742;-0.05868616;1.108751;-0.2119892;-0.2943672;1.061223;-0.2576123;-0.4642034;0.9796464;-0.2491708;-0.4970884;0.9558674;0.2067162;-0.0323154;1.054383;0.2425614;-0.1973756;0.9259229;0.04889365;-0.1467877;0.8656757;-0.001609789;-0.1424415;0.8625916;-0.06686231;-0.4461472;1.035889;-0.3591335;-0.4007896;0.9957051;-0.7591771;-0.3531313;0.9737247;-0.7942055;-0.3186412;0.8606837;0.0876517;-0.4359632;1.016596;0.06262842;-0.3790057;0.6507094;0.03885357;-0.3323205;0.2947481;0.01927973;-0.2857834;0.1702046;0.03307685;-0.01416521;1.114252;-0.2722815;-0.5408586;0.924983;-0.20793;-0.5046734;0.9477392;-0.07178582;-0.1178591;0.8640301;0.01666952;-0.1185613;0.9158;
-5.153429E-05;-0.4569695;1.053686;0.01734323;-0.1986456;1.095608;0.03269727;0.0528822;1.120287;0.01209662;0.1968348;1.075666;-0.1371238;-0.0588551;1.119238;-0.2159811;-0.2950787;1.062567;-0.25786;-0.4653272;0.9787359;-0.2505169;-0.4934269;0.9574741;0.2016277;-0.03417433;1.065229;0.250161;-0.2000353;0.9376268;0.07021583;-0.1894049;0.8486302;0.02975395;-0.1840412;0.8408845;-0.07759777;-0.449627;1.036767;-0.3642274;-0.3971824;0.993938;-0.7793261;-0.3366707;0.9668094;-0.8106394;-0.3015365;0.8536934;0.07725339;-0.439648;1.013541;0.04909551;-0.3861599;0.6526516;0.02011487;-0.3408484;0.2819963;0.001764204;-0.2934061;0.1578903;0.02837921;-0.01158023;1.116248;-0.264312;-0.5389578;0.923961;-0.2096092;-0.4936393;0.9479905;-0.03663258;-0.1597251;0.8230393;0.02845544;-0.1564572;0.90075;
-0.01091059;-0.4654228;1.052692;0.009588644;-0.2004851;1.096535;0.02622753;0.05417387;1.123084;0.00516033;0.197773;1.078149;-0.1420858;-0.05863109;1.123182;-0.2228215;-0.2960506;1.064708;-0.2590737;-0.4685006;0.9771262;-0.2515598;-0.4956998;0.9558933;0.1977631;-0.03586242;1.070854;0.2781264;-0.218755;0.9449252;0.07909478;-0.2118303;0.8400408;0.02670877;-0.2208529;0.8180518;-0.08816685;-0.4573646;1.035495;-0.369222;-0.3917753;0.994229;-0.7905173;-0.3099224;0.9684893;-0.8228316;-0.2717916;0.8491266;0.06698043;-0.4483776;1.0132;0.03940372;-0.397398;0.655691;0.009766271;-0.3535593;0.2763535;-0.008466661;-0.303789;0.1453871;0.02198698;-0.009928671;1.118609;-0.2641013;-0.5405208;0.9219216;-0.2105351;-0.4946551;0.9480022;-0.03637593;-0.2123506;0.7948511;-0.006849295;-0.1925221;0.8675;
-0.0271023;-0.4818822;1.052507;-0.0017079;-0.2053646;1.098507;0.01841728;0.05602203;1.126495;-0.00354126;0.1996931;1.082103;-0.1496974;-0.05796643;1.128064;-0.228515;-0.2958641;1.066742;-0.2591452;-0.4699831;0.976235;-0.25278;-0.4959697;0.9548399;0.1928143;-0.0369566;1.076636;0.280585;-0.2196504;0.9528302;0.1034161;-0.261802;0.8292838;0.05032852;-0.2673475;0.7955992;-0.1041624;-0.4729039;1.034723;-0.374805;-0.3766887;0.9951024;-0.7906137;-0.2467363;0.9710262;-0.8218068;-0.2054005;0.8477516;0.05150457;-0.4649674;1.013736;0.02198259;-0.4175457;0.658909;-0.01112897;-0.3769745;0.2739666;-0.02838903;-0.325697;0.1391947;0.01381292;-0.008758197;1.121702;-0.2605492;-0.538468;0.9183295;-0.2118097;-0.4952406;0.9469007;-0.007306388;-0.2673328;0.7573119;0.02283824;-0.3064928;0.820125;
-0.03565908;-0.4849079;1.053452;-0.01183117;-0.2069981;1.100635;0.009619422;0.05780231;1.129957;-0.01220006;0.2012181;1.085862;-0.1600547;-0.0584771;1.131676;-0.2343987;-0.2908098;1.069537;-0.2592589;-0.4659357;0.9781402;-0.2540765;-0.4947829;0.9554241;0.1866737;-0.03844083;1.081972;0.2846438;-0.2203326;0.9839754;0.1221695;-0.3062999;0.8125602;0.1097213;-0.30934;0.7907768;-0.1128763;-0.4757773;1.035427;-0.3874701;-0.3704546;0.9948193;-0.781785;-0.2359098;0.9703525;-0.8163673;-0.1919138;0.8447641;0.04358689;-0.467922;1.014746;0.1609638;-0.2529332;0.8151363;-0.09675852;-0.4213802;0.8572015;-0.1687487;-0.4178871;0.7323665;0.004506581;-0.007367624;1.124948;-0.260383;-0.5383695;0.9185238;-0.2128001;-0.4980643;0.9459955;0.05413159;-0.3355221;0.7402846;0.1400327;-0.3350386;0.7968422;
-0.04684373;-0.4236786;1.066981;-0.02319452;-0.1861054;1.10644;0.0008095269;0.05925445;1.132526;-0.02201174;0.2027594;1.088338;-0.1698868;-0.05798221;1.134768;-0.2385538;-0.2877233;1.070204;-0.3011137;-0.4600231;0.9950484;-0.2802003;-0.499803;0.9506663;0.1799324;-0.03921616;1.088232;0.2822171;-0.2231002;0.9915131;0.1745307;-0.3206176;0.8483266;0.1278797;-0.3553295;0.7903927;-0.1243208;-0.4157888;1.047359;-0.4134771;-0.4137777;0.9620168;-0.8093488;-0.4236932;0.8781405;-0.8445936;-0.3875995;0.7489668;0.03328231;-0.4087687;1.029184;0.1883884;-0.2792058;0.7795808;-0.1047913;-0.5218843;0.9337661;-0.2429799;-0.4980678;0.9318146;-0.00455139;-0.002507953;1.12791;-0.2993344;-0.5443944;0.9265398;-0.2502446;-0.4950248;0.9226155;0.07094843;-0.3860075;0.7380485;0.08822247;-0.3651205;0.850619;
-0.04019688;-0.4249817;1.066079;-0.02352352;-0.1842638;1.106897;-0.009831072;0.06113686;1.136428;-0.03211403;0.2047268;1.091705;-0.1730791;-0.05783013;1.135546;-0.2427312;-0.2868372;1.07;-0.2682511;-0.4824418;0.9636408;-0.2602102;-0.5116186;0.9452144;0.1755259;-0.0394858;1.091717;0.2782349;-0.2266534;1.010504;0.1890796;-0.3460444;0.8571136;0.1717118;-0.3816864;0.806727;-0.1179709;-0.4172023;1.045846;-0.4102118;-0.4046929;0.9532238;-0.8148012;-0.4001358;0.8577312;-0.8468493;-0.3632436;0.7295063;0.03996838;-0.4100795;1.029363;0.2401385;-0.3338009;0.786756;0.5193325;-0.238831;0.4773171;0.5035343;-0.1964828;0.3406418;-0.01179804;0.0003414395;1.130894;-0.2582666;-0.5407065;0.9216382;-0.2201953;-0.5107896;0.943521;0.1340138;-0.4157917;0.7530977;0.1482074;-0.3557025;0.8022963;
